id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17878,"Very Nice 2Br in Copacabana w. balcony, fast WiFi",68997,Matthias,,Copacabana,-22.96599,-43.1794,Entire home/apt,170,5,265,2021-05-21,2.11,1,317
24480,Nice and cozy near Ipanema Beach,99249,Goya,,Ipanema,-22.98405,-43.20189,Entire home/apt,283,3,85,2017-04-22,0.88,1,154
25026,Beautiful Modern Decorated Studio in Copa,102840,Viviane,,Copacabana,-22.97735,-43.19105,Entire home/apt,160,7,238,2019-04-27,1.89,2,316
35636,Cosy flat close to Ipanema beach,153232,Patricia,,Ipanema,-22.98839,-43.19232,Entire home/apt,256,2,181,2019-12-06,1.97,1,167
35764,COPACABANA SEA BREEZE  -  RIO - 20 X Superhost,153691,Patricia Miranda & Paulo,,Copacabana,-22.98107,-43.19136,Entire home/apt,120,3,363,2019-06-15,3.05,1,92
48305,Bright 6bed Penthouse Seconds from Beach,70933,Goitaca,,Ipanema,-22.98591,-43.20302,Entire home/apt,1699,2,82,2021-06-08,0.81,7,324
48726,Rio de Janeiro Copacabana Ipanema,221941,Vana,,Copacabana,-22.98528,-43.19264,Private room,102,3,42,2019-08-08,0.93,1,89
48901,Confortable 4BD 3.5BT Atlantic avenue,222884,Marcio,,Copacabana,-22.96574,-43.17514,Entire home/apt,687,3,4,2015-08-13,0.06,1,0
49179,Djalma Ocean View Studio with Amazing Views #100A,224192,David,,Copacabana,-22.9791,-43.19008,Entire home/apt,150,3,100,2020-10-09,0.97,35,176
50759,4 Suites lake front Barra da Tijuca,233554,Felipe,,Barra da Tijuca,-23.00451,-43.30873,Entire home/apt,3171,1,7,2015-11-27,0.10,4,365
51703,"Ocean view, block of the beach, Copacabana,Ipanema",238091,Dália,,Copacabana,-22.98234,-43.19164,Entire home/apt,138,3,170,2021-07-12,1.69,2,352
53533,4BD JOATINGA-CASA LINDA w/POOL!  WALK TO BEACH🌺🌺🌺,249439,Sherri & Andre,,Joá,-23.00809,-43.29113,Entire home/apt,1169,2,13,2017-03-05,0.13,1,357
64795,Ipanema amazing 3 BDRs apartment.,93005,Andrea,,Ipanema,-22.98169,-43.2028,Entire home/apt,400,3,21,2021-05-20,0.23,1,316
65546,"Beach Block 3bed Penthouse, Ipanema Best Location",70933,Goitaca,,Ipanema,-22.98599,-43.20299,Entire home/apt,1528,2,66,2021-06-11,0.66,7,324
66574,Beach apart in Rio (sept/nov 2021),326301,Frederic,,Flamengo,-22.92837,-43.17473,Entire home/apt,180,4,1,2016-08-24,0.02,1,329
66797,Studio Apart  for rent in ipanema.,328096,Carlos,,Copacabana,-22.9824,-43.19593,Entire home/apt,143,3,212,2021-01-31,2.61,2,237
68422,Copacabana Beach Living+AirConWiFi,339264,David,,Copacabana,-22.98553,-43.18964,Private room,199,4,79,2017-02-20,0.66,1,89
70080,Apart-hotel in Ipanema with service and garage,319672,Valeria,,Ipanema,-22.9854,-43.19602,Entire home/apt,269,2,398,2021-07-05,3.44,6,164
73581,Studio Between Ipanema/Copacabana,384673,Pedro,,Copacabana,-22.9819,-43.19273,Entire home/apt,169,3,143,2019-06-16,1.20,1,180
76245,Spacious Home Heart of Rio290m4QT. Discount10%week,406651,Diogo,,Copacabana,-22.98192,-43.19397,Entire home/apt,653,2,125,2020-01-02,1.03,1,199
76300,"GREAT VIEW -Guesthouse ""CASA 48""- Santa Teresa  #1",406989,Casa 48 Guesthouse,,Santa Teresa,-22.92742,-43.19464,Private room,60,7,215,2020-02-28,1.88,6,108
76961,Tiny House in Lapa,411441,Marcelle,,Centro,-22.91258,-43.18902,Entire home/apt,100,30,98,2020-02-03,0.85,1,173
77318,❤Unique RIO | retreat w/ forest view in hot spot,110002,Silvia,,Gávea,-22.97766,-43.2311,Entire home/apt,207,5,37,2020-01-02,0.59,1,28
80145,Stay in a small imperial castle !,432777,Andreas,,Santa Teresa,-22.92456,-43.19028,Private room,102,2,14,2014-06-24,0.15,2,365
85807,Ipanema Copa Flat,470565,Sebastian,,Ipanema,-22.98552,-43.19432,Entire home/apt,169,2,4,2020-03-13,0.21,6,197
86670,AMAZING VIEW ON THE LEBLON/IPANEMA BOARDER.,474221,June,,Leblon,-22.98361,-43.21827,Entire home/apt,246,2,85,2019-10-13,0.74,6,77
86864,Apartamento Moderno e confortavel,476162,Simone,,Copacabana,-22.98174,-43.19039,Entire home/apt,130,5,0,,,9,348
86978,Room For a Rent : Rio de Janeiro,476838,Antonio,,Jacarepaguá,-22.97293,-43.38321,Private room,767,1,0,,,1,365
87762,Apartamento a 1 quadra da praia de Ipanema/Leblon,480527,Pablo,,Ipanema,-22.98339,-43.21436,Entire home/apt,109,2,15,2019-10-12,0.32,1,336
88528,COZY APARTAMENT ON THE COPACABANA BEACH BLOCK.,474221,June,,Copacabana,-22.97794,-43.18969,Entire home/apt,179,2,66,2017-08-09,0.64,6,161
88781,» 30% Off « Beach 50m & Metro > 5 min!!,474221,June,,Copacabana,-22.97456,-43.18807,Entire home/apt,168,2,48,2018-08-06,0.46,6,13
89862,BL27 ·NO MELHOR LUGAR DE COPACABANA,474221,June,,Copacabana,-22.97607,-43.18926,Entire home/apt,224,2,45,2020-03-15,0.43,6,128
89893,Exotic place in Rio de Janeiro.,483023,Geny,,Laranjeiras,-22.94124,-43.19214,Private room,460,1,0,,,1,365
89981,IPANEMA  QUARTO + BANHEIRO PRIVADO,488707,Celia,,Ipanema,-22.98088,-43.20042,Private room,205,3,167,2019-09-18,1.46,1,140
94895,temporada,506187,Sheila,,Copacabana,-22.97256,-43.18948,Private room,180,1,7,2017-02-27,0.10,3,365
96431,Amazing ocean view !,511850,Marina E Ernani,,Barra da Tijuca,-23.01124,-43.37081,Entire home/apt,286,4,51,2019-10-02,0.50,2,188
96478,APARTAMENT IN BOTAFOGO  BEAUTIFULL,530471,Hugo,,Botafogo,-22.94656,-43.18176,Private room,170,4,0,,,3,365
97636,Rio de Janeiro for you! Go for it!,496656,Marcia  Longras,,Botafogo,-22.94169,-43.18703,Private room,128,8,17,2016-10-04,0.15,11,365
99547,Lapa Archs | Santa Teresa best studio for 2 people,524101,Fabiana,,Centro,-22.91408,-43.18233,Entire home/apt,169,4,61,2021-03-11,0.60,1,364
99971,Right in front of the beach in Rio!,525976,Ricardo,,Leblon,-22.98812,-43.22897,Entire home/apt,362,3,107,2019-12-03,1.75,1,345
101182,APARTAMENT IN FRONT OF THE BEACH,530471,Hugo,,Botafogo,-22.94837,-43.18315,Entire home/apt,200,4,0,,,3,365
103053,santa teresa bairro fatima lapa,533278,Kaka,,Santo Cristo,-22.90559,-43.20979,Private room,358,1,0,,,1,365
106372,Reveillon & Natal na Barra da Tijuca. Rj,551316,Katia,,Barra da Tijuca,-23.00744,-43.43045,Entire home/apt,650,4,7,2016-08-13,0.16,1,362
107469,Quarto confortável com vista panorâmica,556738,Casa Da Carmen E,,Santa Teresa,-22.91889,-43.18038,Private room,54,60,2,2018-12-21,0.02,4,210
108072,Nice 1 BR Apartment in Copacabana,521514,Chris,,Copacabana,-22.98314,-43.19086,Entire home/apt,178,3,147,2020-12-06,1.21,1,355
108882,Gloria Sunshine Apartment in Rio,475926,Angelica/ Fca,,Glória,-22.91972,-43.1789,Entire home/apt,242,3,57,2017-02-14,0.53,1,232
109747,IPANEMA'S MOST BEAUTIFUL VIEW for 6+2,554897,Jane,,Ipanema,-22.98697,-43.19751,Entire home/apt,742,2,157,2021-07-12,1.47,1,63
118355,HOUSE IN GARDEN,523251,Humberto,,Itanhangá,-22.98752,-43.31505,Entire home/apt,2043,1,3,2019-03-06,2.50,6,222
